Official Reg. No. (ORN),Reproduction Status,Cull Reason 1,Cull Reason 2,Cull Decision Reason 1,Cull Decision Reason 2,Cull Date
-0995,Culled,11 Kastning,,,,11/7/2013
-0996,Culled,35 Högt celltal,,,,10/21/2014
-0997,Culled,,,,,
-0998,Culled,,,,,
-0999,Dry,03 Ej dräktig,,,,10/22/2012
-1000,Culled,,,,,
-1001,Culled,11 Kastning,,,,3/16/2015
-1002,Culled,13 Låg avkastning,03 Ej dräktig,,,11/7/2013
-1003,Culled,47 Avlivning/självdöd destruerad,15 Olycksfall,,,12/28/2013
-1004,Dry,03 Ej dräktig,,,,12/5/2013
-1005,Culled,03 Ej dräktig,,,,1/29/2013
-1006,Culled,13 Låg avkastning,,,,12/12/2012
-1007,Culled,03 Ej dräktig,,,,12/5/2013
-1008,Culled,03 Ej dräktig,,,,12/5/2013
-1009,Culled,09 Benlidande,04 Mastit/juverfel,,,2/9/2016
-1010,Culled,11 Kastning,,,,12/14/2015
-1011,Culled,04 Mastit/juverfel,,,,2/5/2015
-1012,Culled,"52 Avlivad, destruktion",15 Olycksfall,,,4/11/2016
-1014,Culled,03 Ej dräktig,,,,12/10/2013
-1015,Culled,03 Ej dräktig,,,,9/13/2012
-1016,Culled,02 Nedsatt fruktsamhet,,,,10/21/2014
-1017,Culled,02 Nedsatt fruktsamhet,,,,10/21/2014
-1018,Culled,04 Mastit/juverfel,,,,2/9/2016
-1019,Dry,,,,,
-1020,Culled,12 Hög ålder,,,,2/14/2018
-1021,Culled,13 Låg avkastning,04 Mastit/juverfel,,,3/16/2015
-1022,Culled,04 Mastit/juverfel,,,,2/27/2017
-1023,Culled,46 Hemslakt,,,,11/28/2012
-1025,Culled,03 Ej dräktig,,,,12/10/2013
-1026,Culled,,,,,
-1027,Culled,02 Nedsatt fruktsamhet,,,,7/30/2014
-1028,Culled,03 Ej dräktig,,,,9/13/2012
-1029,Culled,,,,,
-1030,Culled,"31 Missbildning, spenar/juver",,,,11/28/2012
-1031,Culled,02 Nedsatt fruktsamhet,,,,6/23/2014
-1032,Culled,35 Högt celltal,,,,2/5/2015
-1033,Culled,03 Ej dräktig,,,,9/13/2012
-1034,Culled,03 Ej dräktig,,,,1/14/2013
-1035,Culled,02 Nedsatt fruktsamhet,,,,2/24/2014
-1036,Culled,14 Lynnesfel,,,,12/12/2012
-1037,Dry,,,,,
-1038,Culled,03 Ej dräktig,,,,9/13/2012
-1039,Open,,,,,
-1040,Culled,02 Nedsatt fruktsamhet,,,,3/15/2016
-1041,Culled,46 Hemslakt,,,,10/20/2012
-1042,Culled,03 Ej dräktig,,,,9/13/2012
-1043,Culled,13 Låg avkastning,,,,7/30/2014
-1044,Culled,03 Ej dräktig,,03 Ej dräktig,,12/4/2012
-1045,Culled,02 Nedsatt fruktsamhet,,,,12/14/2015
-1046,Culled,04 Mastit/juverfel,,,,8/26/2016
-1047,Culled,,,,,
-1048,Culled,03 Ej dräktig,,,,9/13/2012
-1049,Culled,35 Högt celltal,,,,2/27/2017
-1051,Culled,02 Nedsatt fruktsamhet,,,,7/11/2016
-1052,Culled,,,,,
-1053,Culled,"62 Slakt/slaktdjur, handjur",,,,11/28/2012
-1055,Culled,03 Ej dräktig,,,,12/5/2013
-1056,Culled,13 Låg avkastning,,,,2/24/2014
-1057,Culled,,,,,
-1058,Culled,08 Klövsjukdom,,,,2/26/2020
-1059,Culled,02 Nedsatt fruktsamhet,35 Högt celltal,,,8/9/2018
-1060,Culled,50 Övrig utgångsorsak,,,,8/26/2016
-1061,Culled,13 Låg avkastning,,,,9/9/2015
-1062,Culled,02 Nedsatt fruktsamhet,,,,2/27/2017
-1063,Culled,05 Juver/spenskada,,,,8/26/2014
-1064,Culled,02 Nedsatt fruktsamhet,,,,2/14/2018
-1065,Culled,"18 Svårmjölkad, exteriör",13 Låg avkastning,,,2/5/2015
-1066,Culled,04 Mastit/juverfel,,,,2/14/2018
-1067,Culled,,,,,
-1068,Culled,02 Nedsatt fruktsamhet,,,,3/13/2018
-1069,Culled,09 Benlidande,16 Ämnesoms.sjukdom/acetonemi/foderleda,,,1/22/2019
-1070,Culled,32 Slakt,,,,10/21/2013
-1071,Culled,32 Slakt,,,,10/21/2013
-1072,Culled,02 Nedsatt fruktsamhet,,,,11/9/2016
-1073,Culled,,,,,
