Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
1193,VMS 1,11/1/2020 10:38:23 PM,Grovfoder,00:47,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1301,VMS 1,11/1/2020 10:37:42 PM,Mjolkfalla,00:18,VMS 1,Milking 9.96 kg,,05:25,
1237,VMS 1,11/1/2020 10:37:34 PM,VMS 1,00:08,VMS 1,Pass through to Foderbord,,,
1039,VMS 1,11/1/2020 10:36:43 PM,Grovfoder,03:47,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1287,VMS 1,11/1/2020 10:36:33 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1287,VMS 1,11/1/2020 10:36:24 PM,Grovfoder,01:36,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1184,VMS 1,11/1/2020 10:35:18 PM,Grovfoder,00:58,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1211,VMS 1,11/1/2020 10:33:51 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1211,VMS 1,11/1/2020 10:33:35 PM,Grovfoder,03:35,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1197,VMS 1,11/1/2020 10:33:15 PM,Mjolkfalla,00:03,VMS2,Milking 20.47 kg,,09:43,
1280,VMS 1,11/1/2020 10:33:14 PM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
1200,VMS 1,11/1/2020 10:30:46 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1200,VMS 1,11/1/2020 10:30:33 PM,Grovfoder,00:17,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1322,VMS 1,11/1/2020 10:29:48 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1197,VMS 1,11/1/2020 10:29:32 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Röda kor,,
1237,VMS 1,11/1/2020 10:29:18 PM,Mjolkfalla,00:06,VMS 1,Milking 9.40 kg,,09:10,
1201,VMS 1,11/1/2020 10:29:17 PM,VMS 1,00:09,VMS 1,Pass through to Foderbord,,,
1322,VMS 1,11/1/2020 10:29:09 PM,Grovfoder,00:19,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1197,VMS 1,11/1/2020 10:28:58 PM,Grovfoder,09:38,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1344,VMS 1,11/1/2020 10:28:57 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1344,VMS 1,11/1/2020 10:28:34 PM,Grovfoder,01:46,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1224,VMS 1,11/1/2020 10:27:49 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1224,VMS 1,11/1/2020 10:27:37 PM,Grovfoder,04:10,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1265,VMS 1,11/1/2020 10:26:58 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
1265,VMS 1,11/1/2020 10:26:48 PM,Grovfoder,03:15,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1280,VMS 1,11/1/2020 10:25:53 PM,Mjolkfalla,00:05,VMS2,Milking 9.42 kg,,08:50,
1285,VMS 1,11/1/2020 10:25:52 PM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
1187,VMS 1,11/1/2020 10:24:07 PM,Grovfoder,02:18,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1342,VMS 1,11/1/2020 10:23:57 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1342,VMS 1,11/1/2020 10:23:44 PM,Grovfoder,00:07,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
