Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
89,VMS 1,11/1/2020 10:32:40 AM,Grovfoder,07:27,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
100,VMS 1,11/1/2020 10:30:41 AM,Mjolkfalla,00:40,VMS 1,Milking 7.37 kg,,11:03,LR
24,VMS 1,11/1/2020 10:30:18 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
24,VMS 1,11/1/2020 10:30:03 AM,Grovfoder,00:09,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
93,VMS 1,11/1/2020 10:29:43 AM,VMS 1,00:08,VMS 1,Pass through to Foderbord,,,
82,VMS 1,11/1/2020 10:27:04 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
82,VMS 1,11/1/2020 10:26:54 AM,Grovfoder,00:00,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
49,VMS 1,11/1/2020 10:26:42 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
41,VMS 1,11/1/2020 10:26:41 AM,Mjolkfalla,00:50,VMS2,Milking 20.00 kg,,12:56,
82,VMS 1,11/1/2020 10:26:27 AM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
49,VMS 1,11/1/2020 10:26:22 AM,Grovfoder,01:05,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
11,VMS 1,11/1/2020 10:25:02 AM,Grovfoder,00:35,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
77,VMS 1,11/1/2020 10:24:14 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
54,VMS 1,11/1/2020 10:24:06 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
77,VMS 1,11/1/2020 10:24:03 AM,Grovfoder,02:20,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
54,VMS 1,11/1/2020 10:23:53 AM,Grovfoder,01:12,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
64,VMS 1,11/1/2020 10:23:43 AM,Grovfoder,04:49,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
